GeneID	Symbol	Description	log10baseMean	log2FC
11117	EMILIN1	elastin microfibril interfacer 1	3.556	-0.636
3795	KHK	ketohexokinase	2.566	0.669
10669	CGREF1	cell growth regulator with EF-hand domain 1	2.231	0.59
10113	PREB	prolactin regulatory element binding	3.174	-0.303
51374	ATRAID	all-trans retinoic acid induced differentiation factor	3.305	0.261
790	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	3.036	-0.213
57159	TRIM54	tripartite motif containing 54	1.39	1.235
7349	UCN	urocortin	1.476	0.527
4358	MPV17	mitochondrial inner membrane protein MPV17	2.86	-0.367
2976	GTF3C2	general transcription factor IIIC subunit 2	3.105	0.26
130557	ZNF513	zinc finger protein 513	2.913	0.289
29959	NRBP1	nuclear receptor binding protein 1	3.327	-0.19
200634	KRTCAP3	keratinocyte associated protein 3	3.078	1.225
26160	IFT172	intraflagellar transport 172	2.896	0.285
64838	FNDC4	fibronectin type III domain containing 4	2.151	-1.384
84226	C2orf16	chromosome 2 open reading frame 16	1.206	-0.57
9913	SUPT7L	SPT7 like, STAGA complex subunit gamma	3.098	-0.17
22950	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	2.798	-0.14
64080	RBKS	ribokinase	2.16	0.677
9577	BABAM2	BRISC and BRCA1 A complex member 2	2.836	0.222
100302650	BABAM2-AS1	BABAM2 antisense RNA 1	2.21	-0.682
100505716	LOC100505716	uncharacterized LOC100505716	1.467	-0.459
105374382	LOC105374382	uncharacterized LOC105374382	1.538	-0.667
151056	PLB1	phospholipase B1	2.115	-0.741
112267877	PPP1CB-DT	PPP1CB divergent transcript	1.692	0.39
165186	TOGARAM2	TOG array regulator of axonemal microtubules 2	1.765	-0.878
79745	CLIP4	CAP-Gly domain containing linker protein family member 4	2.54	-0.778
81606	LBH	LBH regulator of WNT signaling pathway	3.188	-0.633
253558	LCLAT1	lysocardiolipin acyltransferase 1	2.602	0.217
92291	CAPN13	calpain 13	2.763	2.024
79623	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	1.638	-0.929
30845	EHD3	EH domain containing 3	2.418	-1.406
58484	NLRC4	NLR family CARD domain containing 4	1.84	-1.42
55622	TTC27	tetratricopeptide repeat domain 27	2.633	0.241
4052	LTBP1	latent transforming growth factor beta binding protein 1	3.071	-0.812
25780	RASGRP3	RAS guanyl releasing protein 3	2.756	-0.828
105374454	RASGRP3-AS1	RASGRP3 antisense RNA 1	1.696	-0.452
25940	FAM98A	family with sequence similarity 98 member A	2.866	-0.382
51232	CRIM1	cysteine rich transmembrane BMP regulator 1	3.394	-0.59
5212	VIT	vitrin	1.646	0.725
253635	GPATCH11	G-patch domain containing 11	2.457	-0.266
5610	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	3.098	-0.454
100505876	CEBPZOS	CEBPZ opposite strand	3.058	0.271
55471	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	2.824	-0.229
23683	PRKD3	protein kinase D3	2.93	-0.556
25797	QPCT	glutaminyl-peptide cyclotransferase	2.294	-0.368
10602	CDC42EP3	CDC42 effector protein 3	2.982	-0.88
151393	RMDN2	regulator of microtubule dynamics 2	2.621	0.702
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1	1.342	0.541
92906	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like	2.958	-0.176
130589	GALM	galactose mutarotase	3.156	0.801
79833	GEMIN6	gem nuclear organelle associated protein 6	2.376	0.289
6654	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	3.123	-0.315
728730	MAP4K3-DT	MAP4K3 divergent transcript	2.122	0.385
130733	TMEM178A	transmembrane protein 178A	2.044	0.513
6546	SLC8A1	solute carrier family 8 member A1	2.473	-0.665
101929667	LOC101929667	uncharacterized LOC101929667	1.185	-0.753
91461	PKDCC	protein kinase domain containing, cytoplasmic	3.141	0.775
57504	MTA3	metastasis associated 1 family member 3	2.971	0.364
165140	OXER1	oxoeicosanoid receptor 1	2.234	0.567
23498	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	2.658	0.376
102723854	LINC01819	long intergenic non-protein coding RNA 1819	1.441	1.049
100506047	LINC02580	long intergenic non-protein coding RNA 2580	0.911	-0.596
678	ZFP36L2	ZFP36 ring finger protein like 2	4.193	0.379
63892	THADA	THADA armadillo repeat containing	2.935	-0.352
51626	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	2.545	0.208
10128	LRPPRC	leucine rich pentatricopeptide repeat containing	3.607	0.523
6519	SLC3A1	solute carrier family 3 member 1	2.759	0.702
107985878	LOC107985878		1.152	0.585
55133	SRBD1	S1 RNA binding domain 1	2.576	-0.351
2034	EPAS1	endothelial PAS domain protein 1	3.885	-1.258
90423	ATP6V1E2	ATPase H+ transporting V1 subunit E2	1.797	-0.448
23433	RHOQ	ras homolog family member Q	3.146	-1.221
100506142	RHOQ-AS1	RHOQ antisense RNA 1	1.504	-1.382
5281	PIGF	phosphatidylinositol glycan anchor biosynthesis class F	2.7	-0.51
9655	SOCS5	suppressor of cytokine signaling 5	2.754	-0.652
100134259	LINC01119	long intergenic non-protein coding RNA 1119	0.946	-0.508
90411	MCFD2	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	3.149	-0.927
57217	TTC7A	tetratricopeptide repeat domain 7A	3.037	-0.363
101927043	EPCAM-DT	EPCAM divergent transcript	1.757	2.059
105374588	LOC105374588	uncharacterized LOC105374588	1.623	2.795
4072	EPCAM	epithelial cell adhesion molecule	4.281	1.101
693144	MIR559	microRNA 559	1.4	1.127
80204	FBXO11	F-box protein 11	3.14	-0.288
3344	FOXN2	forkhead box N2	2.81	-0.62
286749	STON1-GTF2A1L	STON1-GTF2A1L readthrough	1.952	-1.203
11037	STON1	stonin 1	2.563	-0.905
11036	GTF2A1L	general transcription factor IIA subunit 1 like	1.105	-1.352
51130	ASB3	ankyrin repeat and SOCS box containing 3	2.247	-0.444
100302652	GPR75-ASB3	GPR75-ASB3 readthrough	2.168	-0.502
494143	CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2	1.984	-0.628
27248	ERLEC1	endoplasmic reticulum lectin 1	3.221	-0.779
112268415	LOC112268415	uncharacterized LOC112268415	2.379	-0.398
10936	GPR75	G protein-coupled receptor 75	1.762	-0.709
23198	PSME4	proteasome activator subunit 4	3.215	-0.33
105374615	LOC105374615	uncharacterized LOC105374615	1.001	0.78
400954	EML6	EMAP like 6	3.181	0.195
6233	RPS27A	ribosomal protein S27a	4.279	0.421
4528	MTIF2	mitochondrial translational initiation factor 2	3.28	0.467
344405	PRORSD1P	prolyl-tRNA synthetase associated domain containing 1, pseudogene	1.92	0.492
55704	CCDC88A	coiled-coil domain containing 88A	2.85	-1.107
112942	CFAP36	cilia and flagella associated protein 36	2.781	-0.232
100129434	LOC100129434	uncharacterized LOC100129434	1.371	-1.614
114800	CCDC85A	coiled-coil domain containing 85A	1.853	-0.795
7444	VRK2	VRK serine/threonine kinase 2	2.868	-0.245
107984043	LOC107984043	formin-2-like	1.177	-0.678
53335	BCL11A	BCL11 transcription factor A	2.518	0.92
64895	PAPOLG	poly(A) polymerase gamma	2.54	-0.309
5966	REL	REL proto-oncogene, NF-kB subunit	3.185	-0.7
339803	C2orf74-DT	C2orf74 divergent transcript	1.815	-0.871
339804	C2orf74	chromosome 2 open reading frame 74	2.113	-0.676
9736	USP34	ubiquitin specific peptidase 34	3.387	-0.319
84140	FAM161A	FAM161 centrosomal protein A	1.808	-0.427
10678	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	2.813	-0.62
200728	TMEM17	transmembrane protein 17	1.507	-0.361
51057	WDPCP	WD repeat containing planar cell polarity effector	2.025	-0.436
4190	MDH1	malate dehydrogenase 1	3.477	0.52
7360	UGP2	UDP-glucose pyrophosphorylase 2	3.61	0.746
57162	PELI1	pellino E3 ubiquitin protein ligase 1	3.498	-0.794
100507006	LOC100507006	uncharacterized LOC100507006	1.953	-0.655
105374771	LGALSL-DT	LGALSL divergent transcript	2.018	0.806
29094	LGALSL	galectin like	2.933	0.625
105374773	LOC105374773	uncharacterized LOC105374773	1.374	-0.528
101927402	AFTPH-DT	AFTPH divergent transcript	1.611	-1.063
9792	SERTAD2	SERTA domain containing 2	3.02	-0.326
105374775	LOC105374775	uncharacterized LOC105374775	1.163	-0.716
107984063	LOC107984063		1.945	0.744
6509	SLC1A4	solute carrier family 1 member 4	2.965	-0.536
102724233	LINC02576	long intergenic non-protein coding RNA 2576	1.921	-1.082
4211	MEIS1	Meis homeobox 1	2.721	-0.609
54465	ETAA1	ETAA1 activator of ATR kinase	2.498	-0.221
10438	C1D	C1D nuclear receptor corepressor	2.487	-0.284
116143	DNAAF10	dynein axonemal assembly factor 10	2.394	0.261
56902	PNO1	partner of NOB1 homolog	2.676	-0.233
5534	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha	3.122	-0.231
25927	CNRIP1	cannabinoid receptor interacting protein 1	2.526	-0.682
101927723	LOC101927723	uncharacterized LOC101927723	1.658	-2.643
5341	PLEK	pleckstrin	3.152	-2.092
105374790	LOC105374790	uncharacterized LOC105374790	1.087	-1.06
84168	ANTXR1	ANTXR cell adhesion molecule 1	3.248	-0.74
22848	AAK1	AP2 associated kinase 1	2.963	-0.409
112268437	LOC112268437	uncharacterized protein FLJ45252	1.911	-0.775
11017	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	2.675	-0.314
400960	PCBP1-AS1	PCBP1 antisense RNA 1	2.091	-0.344
7039	TGFA	transforming growth factor alpha	2.618	1.136
165530	CLEC4F	C-type lectin domain family 4 member F	1.484	1.944
50489	CD207	CD207 molecule	1.566	2.152
25806	VAX2	ventral anterior homeobox 2	1.077	-1.112
79998	ANKRD53	ankyrin repeat domain 53	2.481	0.273
400961	PAIP2B	poly(A) binding protein interacting protein 2B	2.466	0.293
8291	DYSF	dysferlin	2.911	-2.126
56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1	2.249	-1.071
6697	SPR	sepiapterin reductase	3.052	0.911
2016	EMX1	empty spiracles homeobox 1	1.163	1.514
94097	SFXN5	sideroflexin 5	2.723	0.57
107985897	LOC107985897	uncharacterized LOC107985897	1.253	-0.506
26056	RAB11FIP5	RAB11 family interacting protein 5	2.831	-0.286
10322	SMYD5	SMYD family member 5	2.745	0.236
84279	PRADC1	protease associated domain containing 1	2.89	0.967
150726	FBXO41	F-box protein 41	2.524	-0.405
1961	EGR4	early growth response 4	1.351	-1.419
100874291	ALMS1-IT1	ALMS1 intronic transcript 1	1.242	-0.39
51471	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)	1.561	1.97
51002	TPRKB	TP53RK binding protein	2.734	0.288
8446	DUSP11	dual specificity phosphatase 11	2.678	-0.187
10617	STAMBP	STAM binding protein	2.96	0.239
1716	DGUOK	deoxyguanosine kinase	2.95	0.447
100874048	DGUOK-AS1	DGUOK antisense RNA 1	2.272	0.722
388962	BOLA3	bolA family member 3	2.706	0.428
100507171	BOLA3-DT	BOLA3 divergent transcript	1.699	-0.422
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	3.173	-1.059
57835	SLC4A5	solute carrier family 4 member 5	2.22	-0.269
100189589	DCTN1-AS1	DCTN1 antisense RNA 1	1.303	0.638
6242	RTKN	rhotekin	3.028	0.848
23559	WBP1	WW domain binding protein 1	2.861	0.368
64427	TTC31	tetratricopeptide repeat domain 31	2.845	0.162
151534	LBX2-AS1	LBX2 antisense RNA 1	2.208	0.248
3196	TLX2	T cell leukemia homeobox 2	1.561	0.703
165545	DQX1	DEAQ-box RNA dependent ATPase 1	2.851	0.994
27429	HTRA2	HtrA serine peptidase 2	2.96	-0.156
84695	LOXL3	lysyl oxidase like 3	2.62	-0.54
102724497	LOC102724497	uncharacterized LOC102724497	1.361	0.76
101927861	LINC01293	long intergenic non-protein coding RNA 1293	0.968	-0.898
6869	TACR1	tachykinin receptor 1	1.726	-1.759
84141	EVA1A	eva-1 homolog A, regulator of programmed cell death	1.87	-1.125
5968	REG1B	regenerating family member 1 beta	3.065	-4.28
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha	3.641	1.1
1768	DNAH6	dynein axonemal heavy chain 6	1.892	0.802
129293	TRABD2A	TraB domain containing 2A	3.408	1.516
105374836	LOC105374836	uncharacterized LOC105374836	2.568	0.913
9168	TMSB10	thymosin beta 10	4.476	0.542
105374838	LOC105374838		1.724	0.549
100996506	LOC100996506		1.947	0.406
54884	RETSAT	retinol saturase	3.52	1.073
84173	ELMOD3	ELMO domain containing 3	2.82	0.43
822	CAPG	capping actin protein, gelsolin like	3.312	0.556
284948	SH2D6	SH2 domain containing 6	2.291	1.511
8673	VAMP8	vesicle associated membrane protein 8	3.373	0.899
10791	VAMP5	vesicle associated membrane protein 5	2.825	-1.062
388969	C2orf68	chromosome 2 open reading frame 68	2.843	0.344
10578	GNLY	granulysin	2.415	-1.171
8869	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2.567	-0.752
112268420	LOC112268420		1.015	-0.58
55037	PTCD3	pentatricopeptide repeat domain 3	3.241	0.261
10989	IMMT	inner membrane mitochondrial protein	3.396	0.599
51318	MRPL35	mitochondrial ribosomal protein L35	3.2	0.694
55818	KDM3A	lysine demethylase 3A	3.079	-0.361
100526767	RNF103-CHMP3	RNF103-CHMP3 readthrough	3.163	0.256
51652	CHMP3	charged multivesicular body protein 3	3.162	0.267
64795	RMND5A	required for meiotic nuclear division 5 homolog A	3.16	0.279
400966	RGPD1	RANBP2 like and GRIP domain containing 1	2.514	-0.908
102724642	LOC102724642	anaphase-promoting complex subunit 1-like	1.996	-0.252
101928173	LINC01943	long intergenic non-protein coding RNA 1943	1.596	-1.69
112597	CYTOR	cytoskeleton regulator RNA	2.553	-1.676
101928152	LOC101928152	replaced by ID 101928173	2.134	-1.307
107985909	LOC107985909	uncharacterized LOC107985909	1.526	-1.191
101928214	LOC101928214	uncharacterized LOC101928214	1.309	-1.801
730268	ANAPC1P4	ANAPC1 pseudogene 4	2.342	-0.278
5342	PLGLB2	plasminogen like B2	1.846	-0.366
729857	RGPD2	RANBP2 like and GRIP domain containing 2	2.485	-0.989
51315	KRCC1	lysine rich coiled-coil 1	3.031	0.364
2168	FABP1	fatty acid binding protein 1	4.502	2.183
55258	THNSL2	threonine synthase like 2	2.653	0.563
101928371	LOC101928371	uncharacterized LOC101928371	2.156	-0.745
9451	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	3.048	-0.611
102724805	LOC102724805	uncharacterized LOC102724805	1.126	0.396
22934	RPIA	ribose 5-phosphate isomerase A	2.975	0.498
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	2.772	-0.921
105374854	LOC105374854	uncharacterized LOC105374854	1.763	-1.32
3514	IGKC	immunoglobulin kappa constant	5.496	-1.451
28946	IGKJ5	immunoglobulin kappa joining 5	3.435	-1.9
28947	IGKJ4	immunoglobulin kappa joining 4	3.818	-1.549
28948	IGKJ3	immunoglobulin kappa joining 3	3.401	-1.5
28949	IGKJ2	immunoglobulin kappa joining 2	3.748	-1.317
28950	IGKJ1	immunoglobulin kappa joining 1	3.828	-1.486
28908	IGKV4-1	immunoglobulin kappa variable 4-1	4.089	-1.653
28907	IGKV5-2	immunoglobulin kappa variable 5-2	2.186	-2.597
28905	IGKV7-3	immunoglobulin kappa variable 7-3 (pseudogene)	1.573	-2.546
28929	IGKV2-4	immunoglobulin kappa variable 2-4 (pseudogene)	2.1	-2.331
28299	IGKV1-5	immunoglobulin kappa variable 1-5	4.019	-2.291
28943	IGKV1-6	immunoglobulin kappa variable 1-6	3.114	-1.765
28915	IGKV3-7	immunoglobulin kappa variable 3-7 (non-functional)	2.487	-2.816
28942	IGKV1-8	immunoglobulin kappa variable 1-8	2.754	-2.277
28941	IGKV1-9	immunoglobulin kappa variable 1-9	3.637	-1.982
28914	IGKV3-11	immunoglobulin kappa variable 3-11	3.885	-1.871
28940	IGKV1-12	immunoglobulin kappa variable 1-12	3.303	-1.775
28939	IGKV1-13	immunoglobulin kappa variable 1-13	2.722	-1.636
28913	IGKV3-15	immunoglobulin kappa variable 3-15	3.734	-2.238
28938	IGKV1-16	immunoglobulin kappa variable 1-16	3.215	-1.613
28937	IGKV1-17	immunoglobulin kappa variable 1-17	3.337	-1.822
28926	IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene)	2.07	-3.114
28912	IGKV3-20	immunoglobulin kappa variable 3-20	4.215	-2.081
28906	IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional)	2.76	-1.644
28936	IGKV1-22	immunoglobulin kappa variable 1-22 (pseudogene)	1.639	-3.082
28922	IGKV2-26	immunoglobulin kappa variable 2-26 (pseudogene)	2.011	-1.727
28935	IGKV1-27	immunoglobulin kappa variable 1-27	3.157	-1.549
28921	IGKV2-28	immunoglobulin kappa variable 2-28	3.767	-2.006
28920	IGKV2-29	immunoglobulin kappa variable 2-29	2.465	-1.618
28933	IGKV1-33	immunoglobulin kappa variable 1-33	3.55	-2.85
28931	IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional)	2.073	-1.544
28930	IGKV1-39	immunoglobulin kappa variable 1-39	3.832	-2.45
28916	IGKV2-40	immunoglobulin kappa variable 2-40	2.252	-3.503
28878	IGKV2D-40	immunoglobulin kappa variable 2D-40	2.37	-3.162
28893	IGKV1D-39	immunoglobulin kappa variable 1D-39	3.843	-2.553
28894	IGKV1D-37	immunoglobulin kappa variable 1D-37 (non-functional)	1.98	-1.955
28896	IGKV1D-33	immunoglobulin kappa variable 1D-33	3.411	-2.981
28882	IGKV2D-29	immunoglobulin kappa variable 2D-29	2.758	-1.664
28883	IGKV2D-28	immunoglobulin kappa variable 2D-28	3.75	-1.963
28898	IGKV1D-27	immunoglobulin kappa variable 1D-27 (pseudogene)	2.653	-2.009
28884	IGKV2D-26	immunoglobulin kappa variable 2D-26	2.089	-2.195
28870	IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional)	2.658	-2.064
28874	IGKV3D-20	immunoglobulin kappa variable 3D-20	3.478	-1.896
28900	IGKV1D-17	immunoglobulin kappa variable 1D-17	2.703	-1.819
28901	IGKV1D-16	immunoglobulin kappa variable 1D-16	2.907	-2.19
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15	3.359	-2.077
28902	IGKV1D-13	immunoglobulin kappa variable 1D-13	2.652	-1.519
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	2.975	-2.181
28876	IGKV3D-11	immunoglobulin kappa variable 3D-11	2.947	-1.851
28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	1.519	-1.839
28904	IGKV1D-8	immunoglobulin kappa variable 1D-8	2.392	-3.094
28877	IGKV3D-7	immunoglobulin kappa variable 3D-7	2.211	-1.938
64969	MRPS5	mitochondrial ribosomal protein S5	3.241	0.584
84874	ZNF514	zinc finger protein 514	2.798	0.311
150696	PROM2	prominin 2	3.088	1.178
30818	KCNIP3	potassium voltage-gated channel interacting protein 3	1.695	-0.441
51011	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	2.745	0.448
107985917	LOC107985917		1.613	0.412
400986	ANKRD36C	ankyrin repeat domain 36C	2.59	-0.657
56910	STARD7	StAR related lipid transfer domain containing 7	3.563	0.275
9391	CIAO1	cytosolic iron-sulfur assembly component 1	3.316	0.132
150771	ITPRIPL1	ITPRIP like 1	1.903	-0.987
10865	ARID5A	AT-rich interaction domain 5A	3.231	-0.695
55683	KANSL3	KAT8 regulatory NSL complex subunit 3	3.242	0.242
90342	FER1L5	fer-1 like family member 5	0.983	-0.607
81562	LMAN2L	lectin, mannose binding 2 like	2.7	0.391
26504	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	3.289	0.918
100506036	CNNM3-DT	CNNM3 divergent transcript	1.037	0.428
26505	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	3.058	0.324
54910	SEMA4C	semaphorin 4C	2.96	-0.446
375248	ANKRD36	ankyrin repeat domain 36	2.869	-0.441
1329	COX5B	cytochrome c oxidase subunit 5B	3.767	1.239
10120	ACTR1B	actin related protein 1B	3.247	0.198
23505	TMEM131	transmembrane protein 131	3.34	0.414
200403	VWA3B	von Willebrand factor A domain containing 3B	1.442	0.764
3631	INPP4A	inositol polyphosphate-4-phosphatase type I A	3.053	-0.509
493753	COA5	cytochrome c oxidase assembly factor 5	2.74	0.316
107985922	LOC107985922	uncharacterized LOC107985922	1.09	0.971
343990	CRACDL	CRACD like	2.619	0.516
80705	TSGA10	testis specific 10	2.084	0.517
150590	C2orf15	chromosome 2 open reading frame 15	1.813	0.507
9486	CHST10	carbohydrate sulfotransferase 10	1.979	-0.77
6160	RPL31	ribosomal protein L31	4.277	0.466
11138	TBC1D8	TBC1 domain family member 8	2.837	-0.283
105373510	LOC105373510	uncharacterized LOC105373510	1.336	0.536
100506286	TBC1D8-AS1	TBC1D8 antisense RNA 1	1.334	0.542
55571	CNOT11	CCR4-NOT transcription complex subunit 11	3.103	0.331
284996	RNF149	ring finger protein 149	3.396	-0.543
692205	SNORD89	small nucleolar RNA, C/D box 89	1.224	-0.525
731220	RFX8	regulatory factor X8	1.316	-2.898
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	3.309	-0.806
3554	IL1R1	interleukin 1 receptor type 1	3.445	-1.29
8809	IL18R1	interleukin 18 receptor 1	2.675	-1.032
8807	IL18RAP	interleukin 18 receptor accessory protein	2.469	-0.893
6549	SLC9A2	solute carrier family 9 member A2	3.106	1.334
84804	MFSD9	major facilitator superfamily domain containing 9	2.851	0.588
64965	MRPS9	mitochondrial ribosomal protein S9	2.899	0.634
101927492	MRPS9-AS1	MRPS9 antisense RNA 1	2.126	0.821
285189	PLGLA	plasminogen like A (pseudogene)	0.949	-0.537
653489	RGPD3	RANBP2 like and GRIP domain containing 3	2.284	-0.698
84620	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	1.697	2.301
285190	RGPD4	RANBP2 like and GRIP domain containing 4	2.36	-0.465
60482	SLC5A7	solute carrier family 5 member 7	1.486	0.983
6819	SULT1C2	sulfotransferase family 1C member 2	1.958	0.746
3987	LIMS1	LIM zinc finger domain containing 1	3.095	-0.819
5903	RANBP2	RAN binding protein 2	3.479	-0.422
100287216	SH3RF3-AS1	SH3RF3 antisense RNA 1	1.763	-1.626
344558	SH3RF3	SH3 domain containing ring finger 3	2.607	-1.378
151011	SEPTIN10	septin 10	3.061	-0.348
65124	SOWAHC	sosondowah ankyrin repeat domain family member C	3.043	0.536
84220	RGPD5	RANBP2 like and GRIP domain containing 5	2.862	-0.557
100271835	LIMS3-LOC440895	LIMS3-LOC440895 readthrough	1.587	-0.884
96626	LIMS3	LIM zinc finger domain containing 3	1.904	-0.771
440894	LINC01123	long intergenic non-protein coding RNA 1123	2.582	0.945
112268438	LOC112268438	uncharacterized LOC112268438	1.053	0.949
7851	MALL	mal, T cell differentiation protein like	3.286	0.624
4867	NPHP1	nephrocystin 1	1.855	-0.541
205251	MTLN	mitoregulin	2.58	0.516
151009	LINC01106	long intergenic non-protein coding RNA 1106	2.747	1.423
100288695	LIMS4	LIM zinc finger domain containing 4	2.129	-0.76
105373552	LOC105373552	uncharacterized LOC105373552	0.933	-1.02
729540	RGPD6	RANBP2 like and GRIP domain containing 6	2.866	-0.552
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	2.663	-0.423
55289	ACOXL	acyl-CoA oxidase like	2.167	-1.251
10018	BCL2L11	BCL2 like 11	3.111	-0.435
541471	MIR4435-2HG	MIR4435-2 host gene	2.592	-1.743
101927283	LOC101927283	uncharacterized LOC101927283	1.254	-1.735
105373557	SOCAR	serous ovarian cancer associated RNA	1.376	-1.543
10461	MERTK	MER proto-oncogene, tyrosine kinase	2.666	-0.546
129804	FBLN7	fibulin 7	2.267	-0.459
727851	RGPD8	RANBP2 like and GRIP domain containing 8	2.85	-0.575
150465	TTL	tubulin tyrosine ligase	2.842	-0.471
84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2.617	0.573
400999	SLC20A1-DT	SLC20A1 divergent transcript	1.257	0.883
6574	SLC20A1	solute carrier family 20 member 1	3.528	0.467
102724955	LOC102724955	uncharacterized LOC102724955	1.466	1.054
3552	IL1A	interleukin 1 alpha	1.602	-2.083
3553	IL1B	interleukin 1 beta	3.043	-1.981
27178	IL37	interleukin 37	1.476	1.819
3557	IL1RN	interleukin 1 receptor antagonist	2.554	-2.621
23550	PSD4	pleckstrin and Sec7 domain containing 4	3.328	0.287
7849	PAX8	paired box 8	1.97	0.509
375260	WASH2P	WASP family homolog 2, pseudogene	2.836	0.566
118433	RPL23AP7	ribosomal protein L23a pseudogene 7	2.038	-0.231
11159	RABL2A	RAB, member of RAS oncogene family like 2A	2.58	0.406
112268423	LOC112268423	uncharacterized LOC112268423	1.481	0.878
101060091	ACTR3-AS1	ACTR3 antisense RNA 1	1.145	-0.531
10096	ACTR3	actin related protein 3	3.705	-0.402
57628	DPP10	dipeptidyl peptidase like 10	2.064	2.232
389023	DPP10-AS1	DPP10 antisense RNA 1	1.981	2.849
107985939	LOC107985939	uncharacterized LOC107985939	1.719	-0.494
51141	INSIG2	insulin induced gene 2	2.678	-0.461
8685	MARCO	macrophage receptor with collagenous structure	1.905	-1.722
55240	STEAP3	STEAP3 metalloreductase	2.901	0.831
105373581	LOC105373581	uncharacterized LOC105373581	2.374	1.15
1622	DBI	diazepam binding inhibitor, acyl-CoA binding protein	3.575	0.538
140738	TMEM37	transmembrane protein 37	2.681	1.576
6344	SCTR	secretin receptor	1.359	1.473
80775	TMEM177	transmembrane protein 177	2.527	0.869
101927764	LOC101927764	uncharacterized LOC101927764	1.351	0.403
57669	EPB41L5	erythrocyte membrane protein band 4.1 like 5	2.784	0.558
105373582	LOC105373582	uncharacterized LOC105373582	1.511	-0.892
79134	TMEM185B	transmembrane protein 185B	2.865	-0.279
105373583	LOC105373583	uncharacterized LOC105373583	1.523	0.8
105373989	LOC105373989	putative cuticle collagen 91	1.366	-2.09
3625	INHBB	inhibin subunit beta B	2.331	-1.908
105373585	LOC105373585	uncharacterized LOC105373585	1.362	-1.869
29842	TFCP2L1	transcription factor CP2 like 1	3.456	1.411
23332	CLASP1	cytoplasmic linker associated protein 1	2.993	-0.427
107985942	CLASP1-AS1	CLASP1 antisense RNA 1	1.415	-0.804
2995	GYPC	glycophorin C (Gerbich blood group)	2.883	-0.631
274	BIN1	bridging integrator 1	3.212	0.284
2071	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	2.999	-0.149
10746	MAP3K2	mitogen-activated protein kinase kinase kinase 2	3.235	-0.473
5624	PROC	protein C, inactivator of coagulation factors Va and VIIIa	1.366	1.359
105373608	LOC105373608	uncharacterized LOC105373608	1.397	0.391
4648	MYO7B	myosin VIIB	3.538	0.924
105373609	LOC105373609	uncharacterized LOC105373609	1.213	1.116
2840	GPR17	G protein-coupled receptor 17	2.059	-0.94
55339	WDR33	WD repeat domain 33	3.293	0.097
84826	SFT2D3	SFT2 domain containing 3	2.386	0.244
79595	SAP130	Sin3A associated protein 130	2.773	0.211
80097	MZT2B	mitotic spindle organizing protein 2B	3.524	0.737
84317	CCDC115	coiled-coil domain containing 115	2.955	0.501
26469	PTPN18	protein tyrosine phosphatase non-receptor type 18	3.492	0.542
50649	ARHGEF4	Rho guanine nucleotide exchange factor 4	3.035	0.331
130074	FAM168B	family with sequence similarity 168 member B	3.173	0.223
150786	RAB6D	RAB6D, member RAS oncogene family	2.11	0.373
