GeneID	Symbol	Description	log10baseMean	log2FC
64802	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	2.814	0.836
116362	RBP7	retinol binding protein 7	1.997	-0.857
5195	PEX14	peroxisomal biogenesis factor 14	2.712	0.296
54897	CASZ1	castor zinc finger 1	3.019	0.528
105376733	LOC105376733	uncharacterized LOC105376733	1.012	0.785
10747	MASP2	MBL associated serine protease 2	2.029	0.538
6723	SRM	spermidine synthase	3.052	-0.639
105376736	EXOSC10-AS1	EXOSC10 antisense RNA 1	1.455	-0.257
2475	MTOR	mechanistic target of rapamycin kinase	3.202	-0.261
100873935	MTOR-AS1	MTOR antisense RNA 1	1.191	-0.455
29914	UBIAD1	UbiA prenyltransferase domain containing 1	2.713	0.22
26270	FBXO6	F-box protein 6	2.462	-0.737
10459	MAD2L2	mitotic arrest deficient 2 like 2	2.596	-0.686
374946	DRAXIN	dorsal inhibitory axon guidance protein	1.083	-0.984
57085	AGTRAP	angiotensin II receptor associated protein	2.777	-0.413
1185	CLCN6	chloride voltage-gated channel 6	2.771	-0.391
100379251	NPPA-AS1	NPPA antisense RNA 1	1.965	-0.443
90231	KIAA2013	KIAA2013	3.367	0.558
5351	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	3.26	-0.907
9927	MFN2	mitofusin 2	3.421	0.265
943	TNFRSF8	TNF receptor superfamily member 8	1.566	-1.275
102465836	MIR7846	microRNA 7846	0.939	-1.21
7133	TNFRSF1B	TNF receptor superfamily member 1B	3.239	-0.974
9249	DHRS3	dehydrogenase/reductase 3	3.088	0.684
10630	PDPN	podoplanin	2.931	-2.546
7799	PRDM2	PR/SET domain 2	3.147	-0.512
23254	KAZN	kazrin, periplakin interacting protein	2.585	-0.353
200197	TMEM51-AS1	TMEM51 antisense RNA 1	2.133	0.371
55092	TMEM51	transmembrane protein 51	2.697	0.487
23341	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	2.875	0.321
79814	AGMAT	agmatinase	2.918	0.811
6248	RSC1A1	regulator of solute carriers 1	2.068	-0.564
23207	PLEKHM2	pleckstrin homology and RUN domain containing M2	3.27	-0.301
284723	SLC25A34	solute carrier family 25 member 34	2.536	1.011
110806303	SLC25A34-AS1	SLC25A34 and TMEM82 antisense RNA 1	1.209	0.886
388595	TMEM82	transmembrane protein 82	2.305	2.152
440567	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	2.405	0.699
729614	SPEN-AS1	SPEN antisense RNA 1	2.299	0.26
23013	SPEN	spen family transcriptional repressor	3.367	-0.43
1187	CLCNKA	chloride voltage-gated channel Ka	1.075	1.215
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	2.128	0.932
101927546	ANO7L1	anoctamin 7 like 1 (pseudogene)	2.074	0.664
79363	CPLANE2	ciliogenesis and planar polarity effector complex subunit 2	1.958	0.427
55672	NBPF1	NBPF member 1	2.816	0.62
11209	MST1P2	macrophage stimulating 1 pseudogene 2	2.381	0.854
107985736	LOC107985736	uncharacterized LOC107985736	1.099	1.192
11223	MST1L	macrophage stimulating 1 like (pseudogene)	2.569	1.44
105376805	LOC105376805	uncharacterized LOC105376805	2.152	0.699
4237	MFAP2	microfibril associated protein 2	2.281	-1.262
105376806	LOC105376806	uncharacterized LOC105376806	1.316	-1.389
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	3.371	0.67
11240	PADI2	peptidyl arginine deiminase 2	3.636	2.389
29943	PADI1	peptidyl arginine deiminase 1	1.468	1.435
23569	PADI4	peptidyl arginine deiminase 4	1.785	-2.714
55160	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	3.512	0.83
126917	IFFO2	intermediate filament family orphan 2	2.902	-1.247
23352	UBR4	ubiquitin protein ligase E3 component n-recognin 4	3.599	-0.46
101927895	EMC1-AS1	EMC1 antisense RNA 1	1.618	-0.282
51154	MRTO4	MRT4 homolog, ribosome maturation factor	3.054	0.394
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	2.568	0.958
22977	AKR7A3	aldo-keto reductase family 7 member A3	3.072	0.895
100506730	LOC100506730	uncharacterized LOC100506730	2.108	0.821
8574	AKR7A2	aldo-keto reductase family 7 member A2	3.187	0.685
54896	SLC66A1	solute carrier family 66 member 1	2.734	0.295
440574	MICOS10	mitochondrial contact site and cristae organizing system subunit 10	3.368	0.72
100532736	MICOS10-NBL1	MICOS10-NBL1 readthrough	3.726	0.687
644068	RPS14P3	ribosomal protein S14 pseudogene 3	2.102	0.758
4681	NBL1	NBL1, DAN family BMP antagonist	3.702	0.685
255104	TMCO4	transmembrane and coiled-coil domains 4	2.957	0.388
54546	RNF186	ring finger protein 186	2.847	1.272
26279	PLA2G2D	phospholipase A2 group IID	2.063	0.981
127733	UBXN10	UBX domain protein 10	2.494	1.112
105376825	LOC105376825	uncharacterized LOC105376825	1.157	1.626
127731	VWA5B1	von Willebrand factor A domain containing 5B1	1.698	3.636
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	3.457	1.566
79594	MUL1	mitochondrial E3 ubiquitin protein ligase 1	2.93	0.409
65018	PINK1	PTEN induced kinase 1	3.109	0.387
100861548	PINK1-AS	PINK1 antisense RNA	3.155	0.375
57576	KIF17	kinesin family member 17	1.707	-1.232
112268222	LOC112268222		3.05	0.246
1889	ECE1	endothelin converting enzyme 1	3.614	-0.651
100506801	ECE1-AS1	ECE1 antisense RNA 1	1.558	-0.737
249	ALPL	alkaline phosphatase, biomineralization associated	2.818	-2.403
5909	RAP1GAP	RAP1 GTPase activating protein	3.076	0.914
84196	USP48	ubiquitin specific peptidase 48	3.303	-0.425
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2	3.147	-0.852
3339	HSPG2	heparan sulfate proteoglycan 2	3.839	-1.265
9923	ZBTB40	zinc finger and BTB domain containing 40	3.083	-0.354
713	C1QB	complement C1q B chain	3.459	-0.66
2048	EPHB2	EPH receptor B2	3.443	0.88
23028	KDM1A	lysine demethylase 1A	3.242	0.309
7798	LUZP1	leucine zipper protein 1	3.111	-0.368
10236	HNRNPR	heterogeneous nuclear ribonucleoprotein R	3.455	-0.214
148898	ZNF436-AS1	ZNF436 antisense RNA 1	1.93	0.487
6920	TCEA3	transcription elongation factor A3	3.497	1.631
55616	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	2.933	0.644
1870	E2F2	E2F transcription factor 2	2.813	0.593
105376859	LOC105376859	uncharacterized LOC105376859	1.553	1.02
3399	ID3	inhibitor of DNA binding 3	3.718	0.549
6135	RPL11	ribosomal protein L11	4.336	0.47
57095	PITHD1	PITH domain containing 1	3.038	0.274
105376860	LOC105376860	uncharacterized LOC105376860	1.877	0.286
11313	LYPLA2	lysophospholipase 2	3.294	0.617
2582	GALE	UDP-galactose-4-epimerase	3.269	0.56
3155	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	3.226	1.177
2517	FUCA1	alpha-L-fucosidase 1	3.45	0.999
10772	SRSF10	serine and arginine rich splicing factor 10	3.484	-0.358
105376863	LOC105376863	uncharacterized LOC105376863	1.059	1.577
58985	IL22RA1	interleukin 22 receptor subunit alpha 1	2.535	1.001
90529	STPG1	sperm tail PG-rich repeat containing 1	2.404	0.758
57185	NIPAL3	NIPA like domain containing 3	2.887	0.351
25932	CLIC4	chloride intracellular channel 4	3.598	-1.213
107984932	LOC107984932		1.16	-1.083
105376878	RUNX3-AS1	RUNX3 antisense RNA 1	1.859	-0.6
23585	TMEM50A	transmembrane protein 50A	3.195	-0.231
26119	LDLRAP1	low density lipoprotein receptor adaptor protein 1	3.13	0.608
57190	SELENON	selenoprotein N	3.289	-0.448
56181	MTFR1L	mitochondrial fission regulator 1 like	3.004	0.409
646471	LOC646471	uncharacterized LOC646471	2.382	0.328
5051	PAFAH2	platelet activating factor acetylhydrolase 2	2.904	0.635
7780	SLC30A2	solute carrier family 30 member 2	1.161	1.261
84676	TRIM63	tripartite motif containing 63	1.073	0.9
79927	FAM110D	family with sequence similarity 110 member D	2.281	-0.639
51042	ZNF593	zinc finger protein 593	2.831	0.528
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1	2.98	0.799
79947	DHDDS	dehydrodolichyl diphosphate synthase subunit	3.074	0.603
3151	HMGN2	high mobility group nucleosomal binding domain 2	3.781	0.398
6195	RPS6KA1	ribosomal protein S6 kinase A1	3.526	0.844
101928728	LOC101928728	uncharacterized LOC101928728	1.33	0.406
55650	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	2.529	0.482
2810	SFN	stratifin	3.632	1.329
54707	GPN2	GPN-loop GTPase 2	3.001	0.436
126695	KDF1	keratinocyte differentiation factor 1	2.536	0.993
388610	TRNP1	TMF1 regulated nuclear protein 1	2.104	-1.199
6548	SLC9A1	solute carrier family 9 member A1	3.263	0.558
23038	WDTC1	WD and tetratricopeptide repeats 1	3.144	0.35
84958	SYTL1	synaptotagmin like 1	3.068	-0.448
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6	3.046	-0.468
8547	FCN3	ficolin 3	2.075	-3.681
27245	AHDC1	AT-hook DNA binding motif containing 1	2.74	-0.277
2268	FGR	FGR proto-oncogene, Src family tyrosine kinase	2.703	-1.883
2537	IFI6	interferon alpha inducible protein 6	3.019	-1.113
23673	STX12	syntaxin 12	3.128	-0.178
5511	PPP1R8	protein phosphatase 1 regulatory subunit 8	2.922	-0.132
9473	THEMIS2	thymocyte selection associated family member 2	3	-0.784
27293	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	2.893	0.934
5724	PTAFR	platelet activating factor receptor	2.605	-0.931
93974	ATP5IF1	ATP synthase inhibitory factor subunit 1	3.612	0.809
54797	MED18	mediator complex subunit 18	2.727	0.822
65979	PHACTR4	phosphatase and actin regulator 4	3.179	0.26
85028	SNHG12	small nucleolar RNA host gene 12	3.012	0.315
6883	TAF12	TATA-box binding protein associated factor 12	2.59	-0.309
4985	OPRD1	opioid receptor delta 1	1.143	-0.865
2035	EPB41	erythrocyte membrane protein band 4.1	3.24	0.394
