GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
9420	9.26e-12	1.66e-13	0.302	-7.3732886	-2.22645809	454.53	CYP7B1	cytochrome P450 family 7 subfamily B member 1
6004	9.81e-12	1.77e-13	0.2769	-7.3652456	-2.03977854	1036.29	RGS16	regulator of G protein signaling 16
11174	9.81e-12	1.77e-13	0.3062	-7.364936	-2.25486703	130.14	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
4898	9.84e-12	1.78e-13	0.0497	-7.3641915	-0.36586793	2889.55	NRDC	nardilysin convertase
101927043	9.87e-12	1.80e-13	0.2796	7.36278	2.05859391	57.19	EPCAM-DT	EPCAM divergent transcript
79070	9.87e-12	1.79e-13	0.1613	-7.3633012	-1.18801845	119.58	POGLUT2	protein O-glucosyltransferase 2
101929107	9.87e-12	1.80e-13	0.2631	-7.3627266	-1.93716687	49.46	LOC101929107	uncharacterized LOC101929107
28913	9.95e-12	1.82e-13	0.3041	-7.3610354	-2.23815637	5415.69	IGKV3-15	immunoglobulin kappa variable 3-15
3490	9.95e-12	1.83e-13	0.2052	-7.3610119	-1.51012675	9632.75	IGFBP7	insulin like growth factor binding protein 7
6773	1.01e-11	1.85e-13	0.1295	-7.3589033	-0.95327702	3072.52	STAT2	signal transducer and activator of transcription 2
112268267	1.04e-11	1.91e-13	0.2476	-7.3547216	-1.82131983	519.78	LOC112268267	uncharacterized LOC112268267
1001	1.07e-11	1.98e-13	0.3455	-7.3501328	-2.53974274	121.45	CDH3	cadherin 3
5361	1.08e-11	2.00e-13	0.1093	-7.3490837	-0.8035665	1051.09	PLXNA1	plexin A1
221981	1.10e-11	2.05e-13	0.301	-7.3453942	-2.21082353	246.52	THSD7A	thrombospondin type 1 domain containing 7A
220108	1.12e-11	2.09e-13	0.2481	-7.3430344	-1.82192061	136.46	FAM124A	family with sequence similarity 124 member A
27163	1.13e-11	2.11e-13	0.1468	7.3419408	1.07748663	1163.02	NAAA	N-acylethanolamine acid amidase
646627	1.14e-11	2.14e-13	0.4182	7.3400277	3.0695644	1021.85	LYPD8	LY6/PLAUR domain containing 8
28901	1.15e-11	2.16e-13	0.2984	-7.3387001	-2.18996316	806.89	IGKV1D-16	immunoglobulin kappa variable 1D-16
79783	1.26e-11	2.37e-13	0.2188	7.3258453	1.60258067	144.88	SUGCT	succinyl-CoA:glutarate-CoA transferase
101927202	1.28e-11	2.42e-13	0.2789	-7.3232387	-2.04235259	11.34	LOC101927202	uncharacterized LOC101927202
6696	1.36e-11	2.57e-13	0.307	-7.3152076	-2.24579623	646.36	SPP1	secreted phosphoprotein 1
38	1.36e-11	2.57e-13	0.1447	7.315256	1.05877785	2272.38	ACAT1	acetyl-CoA acetyltransferase 1
386597	1.37e-11	2.61e-13	0.292	-7.3133742	-2.13571676	16.07	GRASLND	glycosaminoglycan regulatory associated long non-coding RNA
221395	1.41e-11	2.69e-13	0.2756	-7.3090488	-2.01419043	1307.61	ADGRF5	adhesion G protein-coupled receptor F5
145376	1.53e-11	2.93e-13	0.2219	7.2977868	1.61972528	146.8	PPP1R36	protein phosphatase 1 regulatory subunit 36
3601	1.55e-11	2.97e-13	0.11	-7.2956021	-0.80217025	548.99	IL15RA	interleukin 15 receptor subunit alpha
6817	1.57e-11	3.01e-13	0.2406	7.2941077	1.75530252	1825.29	SULT1A1	sulfotransferase family 1A member 1
7070	1.58e-11	3.05e-13	0.2534	-7.2923881	-1.84789877	2171.72	THY1	Thy-1 cell surface antigen
84749	1.58e-11	3.06e-13	0.1094	7.2917602	0.79743409	477.31	USP30	ubiquitin specific peptidase 30
140730	1.58e-11	3.05e-13	0.279	7.2919996	2.03441535	40.47	RIMS4	regulating synaptic membrane exocytosis 4
91283	1.63e-11	3.17e-13	0.1054	-7.2870166	-0.7682622	264.62	MSANTD3	Myb/SANT DNA binding domain containing 3
96610	1.63e-11	3.16e-13	0.2479	-7.2872915	-1.80620582	2577.11	BMS1P20	BMS1 pseudogene 20
8814	1.65e-11	3.22e-13	0.1172	7.2848289	0.85342949	609.36	CDKL1	cyclin dependent kinase like 1
2619	1.67e-11	3.26e-13	0.3715	-7.2831935	-2.70552473	406.72	GAS1	growth arrest specific 1
9536	1.72e-11	3.36e-13	0.2258	-7.2791294	-1.64334696	352.93	PTGES	prostaglandin E synthase
2530	1.73e-11	3.40e-13	0.1313	-7.2776854	-0.95540558	942.13	FUT8	fucosyltransferase 8
29774	1.81e-11	3.57e-13	0.2131	-7.2711006	-1.54982174	79.14	POM121L9P	"POM121 transmembrane nucleoporin like 9, pseudogene"
5655	1.85e-11	3.65e-13	0.3801	-7.2679863	-2.76222574	146.84	KLK10	kallikrein related peptidase 10
57477	1.86e-11	3.67e-13	0.1991	-7.26703	-1.44689555	489.18	SHROOM4	shroom family member 4
84627	1.90e-11	3.76e-13	0.301	-7.2640507	-2.18628418	153.02	ZNF469	zinc finger protein 469
4653	1.91e-11	3.80e-13	0.4697	7.2626626	3.41151627	105.54	MYOC	myocilin
65243	2.00e-11	3.99e-13	0.119	-7.255967	-0.86322095	93.2	ZFP69B	ZFP69 zinc finger protein B
8794	2.01e-11	4.01e-13	0.2672	-7.2550763	-1.93856055	60.82	TNFRSF10C	TNF receptor superfamily member 10c
11211	2.09e-11	4.18e-13	0.2836	-7.2496139	-2.05565345	43.91	FZD10	frizzled class receptor 10
27109	2.09e-11	4.19e-13	0.0982	7.2492775	0.71185887	508.84	DMAC2L	distal membrane arm assembly component 2 like
5827	2.09e-11	4.21e-13	0.2419	7.2487874	1.75315471	1137.59	PXMP2	peroxisomal membrane protein 2
28232	2.13e-11	4.29e-13	0.1336	-7.246084	-0.96781251	568.08	SLCO3A1	solute carrier organic anion transporter family member 3A1
56895	2.21e-11	4.45e-13	0.1839	-7.2410235	-1.33184954	385.88	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4
2634	2.31e-11	4.67e-13	0.1694	-7.234581	-1.22572879	2081.62	GBP2	guanylate binding protein 2
11237	2.32e-11	4.70e-13	0.151	-7.233758	-1.09214852	317.92	RNF24	ring finger protein 24
54541	2.34e-11	4.76e-13	0.1915	-7.2321142	-1.38496544	6093.07	DDIT4	DNA damage inducible transcript 4
399726	2.36e-11	4.81e-13	0.2409	-7.2305821	-1.74167386	35.63	MIR1915HG	MIR1915 host gene
152078	2.40e-11	4.89e-13	0.2527	-7.2282902	-1.82630016	21.29	SLC66A1L	solute carrier family 66 member 1 like
861	2.60e-11	5.31e-13	0.1272	-7.2169946	-0.91832721	1665.94	RUNX1	RUNX family transcription factor 1
1462	2.65e-11	5.42e-13	0.2571	-7.2142321	-1.85478275	1881.85	VCAN	versican
56901	2.80e-11	5.75e-13	0.2551	-7.206304	-1.8384965	335.62	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2
2742	2.82e-11	5.80e-13	0.4021	7.2051397	2.89721203	30.7	GLRA2	glycine receptor alpha 2
51026	2.86e-11	5.91e-13	0.1006	-7.2025923	-0.72487109	768.3	GOLT1B	golgi transport 1B
375775	2.91e-11	6.01e-13	0.1565	7.2001975	1.12718737	813.61	PNPLA7	patatin like phospholipase domain containing 7
28912	2.91e-11	6.04e-13	0.289	-7.1996729	-2.08084732	16395.52	IGKV3-20	immunoglobulin kappa variable 3-20
7125	3.00e-11	6.22e-13	0.3171	7.1954636	2.28178016	112.93	TNNC2	"troponin C2, fast skeletal type"
10410	3.02e-11	6.29e-13	0.1874	-7.1940258	-1.34823467	6413.43	IFITM3	interferon induced transmembrane protein 3
6196	3.16e-11	6.59e-13	0.1597	-7.1875868	-1.14767492	987.01	RPS6KA2	ribosomal protein S6 kinase A2
