GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
129642	MBOAT2	membrane bound O-acyltransferase domain containing 2	0.349	1.795
107985851	LOC107985851		0.613	1.942
6868	ADAM17	ADAM metallopeptidase domain 17	-0.621	4.939
9014	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B	-0.567	4.485
29841	GRHL1	grainyhead like transcription factor 1	-1.424	6.43
192668	CYS1	cystin 1	1.749	11.894
6241	RRM2	ribonucleotide reductase regulatory subunit M2	-0.601	2.219
101929715	ODC1-DT	ODC1 divergent transcript	0.579	2.862
10130	PDIA6	protein disulfide isomerase family A member 6	-0.408	3.318
100874055	LINC00570	long intergenic non-protein coding RNA 570	1.194	3.743
1876	E2F6	E2F transcription factor 6	-0.41	4.49
9687	GREB1	growth regulating estrogen receptor binding 1	-1.244	4.872
23175	LPIN1	lipin 1	-0.765	4.976
28951	TRIB2	tribbles pseudokinase 2	-1.141	6.121
151354	LRATD1	LRAT domain containing 1	0.98	3.345
4613	MYCN	MYCN proto-oncogene, bHLH transcription factor	-1.043	3.656
81553	CYRIA	CYFIP related Rac1 interactor A	-0.895	3.597
100526794	NT5C1B-RDH14	NT5C1B-RDH14 readthrough	0.189	1.403
400945	LINC01376	long intergenic non-protein coding RNA 1376	0.443	1.335
130497	OSR1	odd-skipped related transcription factor 1	0.997	2.986
57539	WDR35	WD repeat domain 35	-0.484	2.554
4148	MATN3	matrilin 3	-1.232	4.892
9741	LAPTM4A	lysosomal protein transmembrane 4 alpha	-0.277	3.008
64342	HS1BP3	HCLS1 binding protein 3	0.284	2.142
114818	KLHL29	kelch like family member 29	-0.633	2.716
388931	MFSD2B	MFSD2 lysolipid transporter B, sphingolipid	0.562	2.633
375190	FAM228B	family with sequence similarity 228 member B	0.347	2.181
9540	TP53I3	tumor protein p53 inducible protein 3	0.768	3.436
50618	ITSN2	intersectin 2	-0.419	1.977
391356	PTRHD1	peptidyl-tRNA hydrolase domain containing 1	0.559	2.562
79172	CENPO	centromere protein O	-0.184	1.661
109	ADCY3	adenylate cyclase 3	-0.659	7.178
105377626	LOC105377626	uncharacterized LOC105377626	-0.825	3.287
729723	DNAJC27-AS1	DNAJC27 antisense RNA 1	0.457	2.026
22979	EFR3B	EFR3 homolog B	0.386	1.799
5443	POMC	proopiomelanocortin	-0.778	2.15
1838	DTNB	dystrobrevin beta	-0.441	2.639
101929272	DTNB-AS1	DTNB antisense RNA 1	-1.014	4.07
3797	KIF3C	kinesin family member 3C	-0.621	2.169
105374333	LOC105374333	uncharacterized LOC105374333	0.625	3.002
150946	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	0.986	8.958
3030	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	0.792	7.757
3032	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	0.558	6.2
165082	ADGRF3	adhesion G protein-coupled receptor F3	-0.375	1.66
9381	OTOF	otoferlin	-0.753	1.753
22924	MAPRE3	microtubule associated protein RP/EB family member 3	0.717	5.213
60509	AGBL5	AGBL carboxypeptidase 5	0.167	1.312
11117	EMILIN1	elastin microfibril interfacer 1	-0.636	1.867
3795	KHK	ketohexokinase	0.669	2.249
10669	CGREF1	cell growth regulator with EF-hand domain 1	0.59	1.67
10113	PREB	prolactin regulatory element binding	-0.303	2.028
51374	ATRAID	all-trans retinoic acid induced differentiation factor	0.261	1.387
790	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-0.213	1.942
57159	TRIM54	tripartite motif containing 54	1.235	4.204
7349	UCN	urocortin	0.527	1.512
4358	MPV17	mitochondrial inner membrane protein MPV17	-0.367	6.121
2976	GTF3C2	general transcription factor IIIC subunit 2	0.26	3.379
130557	ZNF513	zinc finger protein 513	0.289	1.863
29959	NRBP1	nuclear receptor binding protein 1	-0.19	1.814
200634	KRTCAP3	keratinocyte associated protein 3	1.225	4.59
26160	IFT172	intraflagellar transport 172	0.285	2.874
64838	FNDC4	fibronectin type III domain containing 4	-1.384	8.129
84226	C2orf16	chromosome 2 open reading frame 16	-0.57	2.931
9913	SUPT7L	SPT7 like, STAGA complex subunit gamma	-0.17	2.613
22950	SLC4A1AP	solute carrier family 4 member 1 adaptor protein	-0.14	2.266
64080	RBKS	ribokinase	0.677	4.77
9577	BABAM2	BRISC and BRCA1 A complex member 2	0.222	1.525
100302650	BABAM2-AS1	BABAM2 antisense RNA 1	-0.682	1.983
100505716	LOC100505716	uncharacterized LOC100505716	-0.459	1.614
105374382	LOC105374382	uncharacterized LOC105374382	-0.667	1.618
151056	PLB1	phospholipase B1	-0.741	3.394
112267877	PPP1CB-DT	PPP1CB divergent transcript	0.39	2.572
165186	TOGARAM2	TOG array regulator of axonemal microtubules 2	-0.878	4.195
79745	CLIP4	CAP-Gly domain containing linker protein family member 4	-0.778	2.39
81606	LBH	LBH regulator of WNT signaling pathway	-0.633	2.1
253558	LCLAT1	lysocardiolipin acyltransferase 1	0.217	1.314
92291	CAPN13	calpain 13	2.024	7.218
79623	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	-0.929	1.562
30845	EHD3	EH domain containing 3	-1.406	8.951
58484	NLRC4	NLR family CARD domain containing 4	-1.42	6.792
55622	TTC27	tetratricopeptide repeat domain 27	0.241	3.066
4052	LTBP1	latent transforming growth factor beta binding protein 1	-0.812	3.983
25780	RASGRP3	RAS guanyl releasing protein 3	-0.828	2.983
105374454	RASGRP3-AS1	RASGRP3 antisense RNA 1	-0.452	1.378
25940	FAM98A	family with sequence similarity 98 member A	-0.382	4.882
51232	CRIM1	cysteine rich transmembrane BMP regulator 1	-0.59	2.136
5212	VIT	vitrin	0.725	2.165
253635	GPATCH11	G-patch domain containing 11	-0.266	1.906
5610	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	-0.454	2.962
100505876	CEBPZOS	CEBPZ opposite strand	0.271	2.834
55471	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	-0.229	2.036
23683	PRKD3	protein kinase D3	-0.556	2.903
25797	QPCT	glutaminyl-peptide cyclotransferase	-0.368	1.501
10602	CDC42EP3	CDC42 effector protein 3	-0.88	5.204
151393	RMDN2	regulator of microtubule dynamics 2	0.702	6.716
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1	0.541	1.957
92906	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like	-0.176	1.755
130589	GALM	galactose mutarotase	0.801	6.084
79833	GEMIN6	gem nuclear organelle associated protein 6	0.289	1.36
6654	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	-0.315	1.89
728730	MAP4K3-DT	MAP4K3 divergent transcript	0.385	3.2
130733	TMEM178A	transmembrane protein 178A	0.513	2.636
6546	SLC8A1	solute carrier family 8 member A1	-0.665	1.948
101929667	LOC101929667	uncharacterized LOC101929667	-0.753	1.6
91461	PKDCC	protein kinase domain containing, cytoplasmic	0.775	4.124
57504	MTA3	metastasis associated 1 family member 3	0.364	6.303
165140	OXER1	oxoeicosanoid receptor 1	0.567	1.93
23498	HAAO	3-hydroxyanthranilate 3,4-dioxygenase	0.376	1.361
102723854	LINC01819	long intergenic non-protein coding RNA 1819	1.049	1.75
100506047	LINC02580	long intergenic non-protein coding RNA 2580	-0.596	2.521
678	ZFP36L2	ZFP36 ring finger protein like 2	0.379	2.496
63892	THADA	THADA armadillo repeat containing	-0.352	4.968
51626	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	0.208	1.654
10128	LRPPRC	leucine rich pentatricopeptide repeat containing	0.523	4.368
6519	SLC3A1	solute carrier family 3 member 1	0.702	6.222
107985878	LOC107985878		0.585	4.316
55133	SRBD1	S1 RNA binding domain 1	-0.351	2.836
2034	EPAS1	endothelial PAS domain protein 1	-1.258	8.52
90423	ATP6V1E2	ATPase H+ transporting V1 subunit E2	-0.448	3.074
23433	RHOQ	ras homolog family member Q	-1.221	10.033
100506142	RHOQ-AS1	RHOQ antisense RNA 1	-1.382	4.633
5281	PIGF	phosphatidylinositol glycan anchor biosynthesis class F	-0.51	6.144
9655	SOCS5	suppressor of cytokine signaling 5	-0.652	4.218
100134259	LINC01119	long intergenic non-protein coding RNA 1119	-0.508	1.661
90411	MCFD2	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit	-0.927	11.102
57217	TTC7A	tetratricopeptide repeat domain 7A	-0.363	3.24
101927043	EPCAM-DT	EPCAM divergent transcript	2.059	11.006
105374588	LOC105374588	uncharacterized LOC105374588	2.795	10.314
4072	EPCAM	epithelial cell adhesion molecule	1.101	2.852
693144	MIR559	microRNA 559	1.127	2.664
80204	FBXO11	F-box protein 11	-0.288	1.978
3344	FOXN2	forkhead box N2	-0.62	3.088
286749	STON1-GTF2A1L	STON1-GTF2A1L readthrough	-1.203	3.344
11037	STON1	stonin 1	-0.905	3.067
11036	GTF2A1L	general transcription factor IIA subunit 1 like	-1.352	3.647
51130	ASB3	ankyrin repeat and SOCS box containing 3	-0.444	4.977
100302652	GPR75-ASB3	GPR75-ASB3 readthrough	-0.502	5.332
494143	CHAC2	ChaC glutathione specific gamma-glutamylcyclotransferase 2	-0.628	3.469
27248	ERLEC1	endoplasmic reticulum lectin 1	-0.779	9.351
112268415	LOC112268415	uncharacterized LOC112268415	-0.398	2.004
10936	GPR75	G protein-coupled receptor 75	-0.709	2.067
23198	PSME4	proteasome activator subunit 4	-0.33	3.693
105374615	LOC105374615	uncharacterized LOC105374615	0.78	2.503
400954	EML6	EMAP like 6	0.195	1.347
6233	RPS27A	ribosomal protein S27a	0.421	1.83
4528	MTIF2	mitochondrial translational initiation factor 2	0.467	3.837
344405	PRORSD1P	prolyl-tRNA synthetase associated domain containing 1, pseudogene	0.492	3.063
55704	CCDC88A	coiled-coil domain containing 88A	-1.107	4.764
112942	CFAP36	cilia and flagella associated protein 36	-0.232	1.58
100129434	LOC100129434	uncharacterized LOC100129434	-1.614	6.714
114800	CCDC85A	coiled-coil domain containing 85A	-0.795	2.42
7444	VRK2	VRK serine/threonine kinase 2	-0.245	1.747
107984043	LOC107984043	formin-2-like	-0.678	3.385
53335	BCL11A	BCL11 transcription factor A	0.92	6.021
64895	PAPOLG	poly(A) polymerase gamma	-0.309	1.624
5966	REL	REL proto-oncogene, NF-kB subunit	-0.7	1.844
339803	C2orf74-DT	C2orf74 divergent transcript	-0.871	4.284
339804	C2orf74	chromosome 2 open reading frame 74	-0.676	2.38
9736	USP34	ubiquitin specific peptidase 34	-0.319	1.687
84140	FAM161A	FAM161 centrosomal protein A	-0.427	1.74
10678	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	-0.62	3.936
200728	TMEM17	transmembrane protein 17	-0.361	2.042
51057	WDPCP	WD repeat containing planar cell polarity effector	-0.436	2.947
4190	MDH1	malate dehydrogenase 1	0.52	4.163
7360	UGP2	UDP-glucose pyrophosphorylase 2	0.746	4.913
57162	PELI1	pellino E3 ubiquitin protein ligase 1	-0.794	2.124
100507006	LOC100507006	uncharacterized LOC100507006	-0.655	1.888
105374771	LGALSL-DT	LGALSL divergent transcript	0.806	4.33
29094	LGALSL	galectin like	0.625	4.539
105374773	LOC105374773	uncharacterized LOC105374773	-0.528	1.415
101927402	AFTPH-DT	AFTPH divergent transcript	-1.063	5.787
9792	SERTAD2	SERTA domain containing 2	-0.326	1.582
105374775	LOC105374775	uncharacterized LOC105374775	-0.716	1.628
107984063	LOC107984063		0.744	3.925
6509	SLC1A4	solute carrier family 1 member 4	-0.536	3.91
102724233	LINC02576	long intergenic non-protein coding RNA 2576	-1.082	4.074
4211	MEIS1	Meis homeobox 1	-0.609	2.214
54465	ETAA1	ETAA1 activator of ATR kinase	-0.221	1.768
10438	C1D	C1D nuclear receptor corepressor	-0.284	1.801
116143	DNAAF10	dynein axonemal assembly factor 10	0.261	2.539
56902	PNO1	partner of NOB1 homolog	-0.233	1.599
5534	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha	-0.231	2.335
25927	CNRIP1	cannabinoid receptor interacting protein 1	-0.682	3.021
101927723	LOC101927723	uncharacterized LOC101927723	-2.643	10.434
5341	PLEK	pleckstrin	-2.092	10.205
105374790	LOC105374790	uncharacterized LOC105374790	-1.06	2.864
84168	ANTXR1	ANTXR cell adhesion molecule 1	-0.74	2.423
22848	AAK1	AP2 associated kinase 1	-0.409	2.18
112268437	LOC112268437	uncharacterized protein FLJ45252	-0.775	2.684
11017	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27	-0.314	4.224
400960	PCBP1-AS1	PCBP1 antisense RNA 1	-0.344	3.173
7039	TGFA	transforming growth factor alpha	1.136	5.17
165530	CLEC4F	C-type lectin domain family 4 member F	1.944	7.708
50489	CD207	CD207 molecule	2.152	11.897
25806	VAX2	ventral anterior homeobox 2	-1.112	4.786
79998	ANKRD53	ankyrin repeat domain 53	0.273	1.638
400961	PAIP2B	poly(A) binding protein interacting protein 2B	0.293	1.767
8291	DYSF	dysferlin	-2.126	14.037
56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1	-1.071	2.478
6697	SPR	sepiapterin reductase	0.911	4.523
2016	EMX1	empty spiracles homeobox 1	1.514	6.421
94097	SFXN5	sideroflexin 5	0.57	4.458
107985897	LOC107985897	uncharacterized LOC107985897	-0.506	1.7
26056	RAB11FIP5	RAB11 family interacting protein 5	-0.286	2.177
10322	SMYD5	SMYD family member 5	0.236	1.474
84279	PRADC1	protease associated domain containing 1	0.967	4.863
150726	FBXO41	F-box protein 41	-0.405	1.341
1961	EGR4	early growth response 4	-1.419	3.236
100874291	ALMS1-IT1	ALMS1 intronic transcript 1	-0.39	1.46
51471	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)	1.97	7.631
51002	TPRKB	TP53RK binding protein	0.288	1.746
8446	DUSP11	dual specificity phosphatase 11	-0.187	2.061
10617	STAMBP	STAM binding protein	0.239	2.77
1716	DGUOK	deoxyguanosine kinase	0.447	2.858
100874048	DGUOK-AS1	DGUOK antisense RNA 1	0.722	4.439
388962	BOLA3	bolA family member 3	0.428	1.553
100507171	BOLA3-DT	BOLA3 divergent transcript	-0.422	1.639
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	-1.059	16.534
57835	SLC4A5	solute carrier family 4 member 5	-0.269	2.994
100189589	DCTN1-AS1	DCTN1 antisense RNA 1	0.638	2.54
6242	RTKN	rhotekin	0.848	5.689
23559	WBP1	WW domain binding protein 1	0.368	2.562
64427	TTC31	tetratricopeptide repeat domain 31	0.162	1.795
151534	LBX2-AS1	LBX2 antisense RNA 1	0.248	1.304
3196	TLX2	T cell leukemia homeobox 2	0.703	2.279
165545	DQX1	DEAQ-box RNA dependent ATPase 1	0.994	3.613
27429	HTRA2	HtrA serine peptidase 2	-0.156	1.61
84695	LOXL3	lysyl oxidase like 3	-0.54	4.367
102724497	LOC102724497	uncharacterized LOC102724497	0.76	4.174
101927861	LINC01293	long intergenic non-protein coding RNA 1293	-0.898	1.809
6869	TACR1	tachykinin receptor 1	-1.759	6.687
84141	EVA1A	eva-1 homolog A, regulator of programmed cell death	-1.125	3.446
5968	REG1B	regenerating family member 1 beta	-4.28	7.524
8802	SUCLG1	succinate-CoA ligase GDP/ADP-forming subunit alpha	1.1	7.081
1768	DNAH6	dynein axonemal heavy chain 6	0.802	4.023
129293	TRABD2A	TraB domain containing 2A	1.516	6.618
105374836	LOC105374836	uncharacterized LOC105374836	0.913	2.626
9168	TMSB10	thymosin beta 10	0.542	1.626
105374838	LOC105374838		0.549	3.143
100996506	LOC100996506		0.406	1.554
54884	RETSAT	retinol saturase	1.073	6.129
84173	ELMOD3	ELMO domain containing 3	0.43	4.832
822	CAPG	capping actin protein, gelsolin like	0.556	1.967
284948	SH2D6	SH2 domain containing 6	1.511	4.763
8673	VAMP8	vesicle associated membrane protein 8	0.899	4.17
10791	VAMP5	vesicle associated membrane protein 5	-1.062	4.944
388969	C2orf68	chromosome 2 open reading frame 68	0.344	2.815
10578	GNLY	granulysin	-1.171	3.253
8869	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	-0.752	3.809
112268420	LOC112268420		-0.58	1.341
55037	PTCD3	pentatricopeptide repeat domain 3	0.261	2.553
10989	IMMT	inner membrane mitochondrial protein	0.599	6.695
51318	MRPL35	mitochondrial ribosomal protein L35	0.694	4.14
55818	KDM3A	lysine demethylase 3A	-0.361	2.155
100526767	RNF103-CHMP3	RNF103-CHMP3 readthrough	0.256	2.271
51652	CHMP3	charged multivesicular body protein 3	0.267	2.397
64795	RMND5A	required for meiotic nuclear division 5 homolog A	0.279	1.609
400966	RGPD1	RANBP2 like and GRIP domain containing 1	-0.908	3.212
102724642	LOC102724642	anaphase-promoting complex subunit 1-like	-0.252	1.673
101928173	LINC01943	long intergenic non-protein coding RNA 1943	-1.69	10.438
112597	CYTOR	cytoskeleton regulator RNA	-1.676	9.72
101928152	LOC101928152	replaced by ID 101928173	-1.307	4.987
107985909	LOC107985909	uncharacterized LOC107985909	-1.191	3.073
101928214	LOC101928214	uncharacterized LOC101928214	-1.801	8.763
730268	ANAPC1P4	ANAPC1 pseudogene 4	-0.278	2.25
5342	PLGLB2	plasminogen like B2	-0.366	1.407
729857	RGPD2	RANBP2 like and GRIP domain containing 2	-0.989	3.48
51315	KRCC1	lysine rich coiled-coil 1	0.364	1.852
2168	FABP1	fatty acid binding protein 1	2.183	5.699
55258	THNSL2	threonine synthase like 2	0.563	1.958
101928371	LOC101928371	uncharacterized LOC101928371	-0.745	2.744
9451	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	-0.611	2.892
102724805	LOC102724805	uncharacterized LOC102724805	0.396	1.392
22934	RPIA	ribose 5-phosphate isomerase A	0.498	4.926
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	-0.921	2.919
105374854	LOC105374854	uncharacterized LOC105374854	-1.32	4.064
3514	IGKC	immunoglobulin kappa constant	-1.451	5.342
28946	IGKJ5	immunoglobulin kappa joining 5	-1.9	8.192
28947	IGKJ4	immunoglobulin kappa joining 4	-1.549	6.626
28948	IGKJ3	immunoglobulin kappa joining 3	-1.5	6.14
28949	IGKJ2	immunoglobulin kappa joining 2	-1.317	4.977
28950	IGKJ1	immunoglobulin kappa joining 1	-1.486	6.191
28908	IGKV4-1	immunoglobulin kappa variable 4-1	-1.653	7.025
28907	IGKV5-2	immunoglobulin kappa variable 5-2	-2.597	10.463
28905	IGKV7-3	immunoglobulin kappa variable 7-3 (pseudogene)	-2.546	7.19
28929	IGKV2-4	immunoglobulin kappa variable 2-4 (pseudogene)	-2.331	4.653
28299	IGKV1-5	immunoglobulin kappa variable 1-5	-2.291	12.412
28943	IGKV1-6	immunoglobulin kappa variable 1-6	-1.765	7.512
28915	IGKV3-7	immunoglobulin kappa variable 3-7 (non-functional)	-2.816	11.147
28942	IGKV1-8	immunoglobulin kappa variable 1-8	-2.277	9.819
28941	IGKV1-9	immunoglobulin kappa variable 1-9	-1.982	7.405
28914	IGKV3-11	immunoglobulin kappa variable 3-11	-1.871	9.311
28940	IGKV1-12	immunoglobulin kappa variable 1-12	-1.775	7.368
28939	IGKV1-13	immunoglobulin kappa variable 1-13	-1.636	4.83
28913	IGKV3-15	immunoglobulin kappa variable 3-15	-2.238	11.002
28938	IGKV1-16	immunoglobulin kappa variable 1-16	-1.613	6.041
28937	IGKV1-17	immunoglobulin kappa variable 1-17	-1.822	6.518
28926	IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene)	-3.114	7.286
28912	IGKV3-20	immunoglobulin kappa variable 3-20	-2.081	10.536
28906	IGKV6-21	immunoglobulin kappa variable 6-21 (non-functional)	-1.644	4.933
28936	IGKV1-22	immunoglobulin kappa variable 1-22 (pseudogene)	-3.082	4.757
28922	IGKV2-26	immunoglobulin kappa variable 2-26 (pseudogene)	-1.727	5.384
28935	IGKV1-27	immunoglobulin kappa variable 1-27	-1.549	5.773
28921	IGKV2-28	immunoglobulin kappa variable 2-28	-2.006	8.853
28920	IGKV2-29	immunoglobulin kappa variable 2-29	-1.618	4.33
28933	IGKV1-33	immunoglobulin kappa variable 1-33	-2.85	16.62
28931	IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional)	-1.544	4.139
28930	IGKV1-39	immunoglobulin kappa variable 1-39	-2.45	12.912
28916	IGKV2-40	immunoglobulin kappa variable 2-40	-3.503	16.298
28878	IGKV2D-40	immunoglobulin kappa variable 2D-40	-3.162	14.936
28893	IGKV1D-39	immunoglobulin kappa variable 1D-39	-2.553	13.464
28894	IGKV1D-37	immunoglobulin kappa variable 1D-37 (non-functional)	-1.955	5.633
28896	IGKV1D-33	immunoglobulin kappa variable 1D-33	-2.981	16.613
28882	IGKV2D-29	immunoglobulin kappa variable 2D-29	-1.664	5.463
28883	IGKV2D-28	immunoglobulin kappa variable 2D-28	-1.963	8.64
28898	IGKV1D-27	immunoglobulin kappa variable 1D-27 (pseudogene)	-2.009	8.062
28884	IGKV2D-26	immunoglobulin kappa variable 2D-26	-2.195	5.919
28870	IGKV6D-21	immunoglobulin kappa variable 6D-21 (non-functional)	-2.064	8.725
28874	IGKV3D-20	immunoglobulin kappa variable 3D-20	-1.896	8.653
28900	IGKV1D-17	immunoglobulin kappa variable 1D-17	-1.819	6.964
28901	IGKV1D-16	immunoglobulin kappa variable 1D-16	-2.19	10.94
28875	IGKV3D-15	immunoglobulin kappa variable 3D-15	-2.077	9.225
28902	IGKV1D-13	immunoglobulin kappa variable 1D-13	-1.519	4.076
28903	IGKV1D-12	immunoglobulin kappa variable 1D-12	-2.181	11.116
28876	IGKV3D-11	immunoglobulin kappa variable 3D-11	-1.851	9.037
28891	IGKV1D-43	immunoglobulin kappa variable 1D-43	-1.839	4.648
28904	IGKV1D-8	immunoglobulin kappa variable 1D-8	-3.094	16.438
28877	IGKV3D-7	immunoglobulin kappa variable 3D-7	-1.938	7.943
64969	MRPS5	mitochondrial ribosomal protein S5	0.584	3.501
84874	ZNF514	zinc finger protein 514	0.311	1.916
150696	PROM2	prominin 2	1.178	4.008
30818	KCNIP3	potassium voltage-gated channel interacting protein 3	-0.441	1.704
51011	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	0.448	3.54
107985917	LOC107985917		0.412	1.351
400986	ANKRD36C	ankyrin repeat domain 36C	-0.657	2.009
56910	STARD7	StAR related lipid transfer domain containing 7	0.275	3.072
9391	CIAO1	cytosolic iron-sulfur assembly component 1	0.132	2.116
150771	ITPRIPL1	ITPRIP like 1	-0.987	4.579
10865	ARID5A	AT-rich interaction domain 5A	-0.695	2.058
55683	KANSL3	KAT8 regulatory NSL complex subunit 3	0.242	4.517
90342	FER1L5	fer-1 like family member 5	-0.607	2.294
81562	LMAN2L	lectin, mannose binding 2 like	0.391	4.283
26504	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	0.918	4.509
100506036	CNNM3-DT	CNNM3 divergent transcript	0.428	1.527
26505	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	0.324	5.505
54910	SEMA4C	semaphorin 4C	-0.446	2.706
375248	ANKRD36	ankyrin repeat domain 36	-0.441	1.961
1329	COX5B	cytochrome c oxidase subunit 5B	1.239	6.21
10120	ACTR1B	actin related protein 1B	0.198	2.136
23505	TMEM131	transmembrane protein 131	0.414	3.532
200403	VWA3B	von Willebrand factor A domain containing 3B	0.764	2.895
3631	INPP4A	inositol polyphosphate-4-phosphatase type I A	-0.509	2.564
493753	COA5	cytochrome c oxidase assembly factor 5	0.316	3.116
107985922	LOC107985922	uncharacterized LOC107985922	0.971	4.431
343990	CRACDL	CRACD like	0.516	3.234
80705	TSGA10	testis specific 10	0.517	3.981
150590	C2orf15	chromosome 2 open reading frame 15	0.507	2.009
9486	CHST10	carbohydrate sulfotransferase 10	-0.77	3.05
6160	RPL31	ribosomal protein L31	0.466	2.407
11138	TBC1D8	TBC1 domain family member 8	-0.283	1.783
105373510	LOC105373510	uncharacterized LOC105373510	0.536	3.332
100506286	TBC1D8-AS1	TBC1D8 antisense RNA 1	0.542	1.998
55571	CNOT11	CCR4-NOT transcription complex subunit 11	0.331	2.913
284996	RNF149	ring finger protein 149	-0.543	4.653
692205	SNORD89	small nucleolar RNA, C/D box 89	-0.525	2.589
731220	RFX8	regulatory factor X8	-2.898	12.13
9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	-0.806	7.042
3554	IL1R1	interleukin 1 receptor type 1	-1.29	7.164
8809	IL18R1	interleukin 18 receptor 1	-1.032	3.907
8807	IL18RAP	interleukin 18 receptor accessory protein	-0.893	2.575
6549	SLC9A2	solute carrier family 9 member A2	1.334	3.074
84804	MFSD9	major facilitator superfamily domain containing 9	0.588	4.326
64965	MRPS9	mitochondrial ribosomal protein S9	0.634	5.323
101927492	MRPS9-AS1	MRPS9 antisense RNA 1	0.821	5.463
285189	PLGLA	plasminogen like A (pseudogene)	-0.537	1.956
653489	RGPD3	RANBP2 like and GRIP domain containing 3	-0.698	3.041
84620	ST6GAL2	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	2.301	6.99
285190	RGPD4	RANBP2 like and GRIP domain containing 4	-0.465	2.473
60482	SLC5A7	solute carrier family 5 member 7	0.983	1.787
6819	SULT1C2	sulfotransferase family 1C member 2	0.746	1.349
3987	LIMS1	LIM zinc finger domain containing 1	-0.819	8.876
5903	RANBP2	RAN binding protein 2	-0.422	2.616
100287216	SH3RF3-AS1	SH3RF3 antisense RNA 1	-1.626	9.705
344558	SH3RF3	SH3 domain containing ring finger 3	-1.378	12.609
151011	SEPTIN10	septin 10	-0.348	1.538
65124	SOWAHC	sosondowah ankyrin repeat domain family member C	0.536	1.757
84220	RGPD5	RANBP2 like and GRIP domain containing 5	-0.557	2.938
100271835	LIMS3-LOC440895	LIMS3-LOC440895 readthrough	-0.884	4.403
96626	LIMS3	LIM zinc finger domain containing 3	-0.771	7.107
440894	LINC01123	long intergenic non-protein coding RNA 1123	0.945	4.667
112268438	LOC112268438	uncharacterized LOC112268438	0.949	3.345
7851	MALL	mal, T cell differentiation protein like	0.624	1.545
4867	NPHP1	nephrocystin 1	-0.541	2.401
205251	MTLN	mitoregulin	0.516	1.539
151009	LINC01106	long intergenic non-protein coding RNA 1106	1.423	7.618
100288695	LIMS4	LIM zinc finger domain containing 4	-0.76	5.387
105373552	LOC105373552	uncharacterized LOC105373552	-1.02	4.18
729540	RGPD6	RANBP2 like and GRIP domain containing 6	-0.552	2.805
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	-0.423	1.304
55289	ACOXL	acyl-CoA oxidase like	-1.251	9.706
10018	BCL2L11	BCL2 like 11	-0.435	1.918
541471	MIR4435-2HG	MIR4435-2 host gene	-1.743	11.172
101927283	LOC101927283	uncharacterized LOC101927283	-1.735	6.966
105373557	SOCAR	serous ovarian cancer associated RNA	-1.543	6.289
10461	MERTK	MER proto-oncogene, tyrosine kinase	-0.546	1.921
129804	FBLN7	fibulin 7	-0.459	1.942
727851	RGPD8	RANBP2 like and GRIP domain containing 8	-0.575	2.922
150465	TTL	tubulin tyrosine ligase	-0.471	6.682
84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	0.573	1.899
400999	SLC20A1-DT	SLC20A1 divergent transcript	0.883	3.936
6574	SLC20A1	solute carrier family 20 member 1	0.467	1.652
102724955	LOC102724955	uncharacterized LOC102724955	1.054	1.937
3552	IL1A	interleukin 1 alpha	-2.083	7.715
3553	IL1B	interleukin 1 beta	-1.981	6.618
27178	IL37	interleukin 37	1.819	4.693
